data_year,criminal_act_id,offense_id
2024,7,240488401
2024,9,236631672
2024,6,236631859
2024,6,236631740
2024,9,236631793
2024,6,236631924
2024,3,236631844
2024,4,236700427
2024,9,236632280
2024,6,236632212
2024,2,236700549
2024,6,236700818
2024,6,236700705
2024,1,236700785
2024,6,236700786
2024,6,236700857
2024,6,236700858
2024,9,236700923
2024,6,236700887
2024,6,236700941
2024,9,236701045
2024,6,236701081
2024,6,236701082
2024,1,236701117
2024,9,236701190
2024,9,236700851
2024,9,236700500
2024,4,243588191
2024,9,236701312
2024,6,236701353
2024,14,236701136
2024,9,236701425
2024,6,240488730
2024,6,240488733
2024,9,240488438
2024,9,240488544
2024,9,240488623
2024,6,240488606
2024,2,240488739
2024,2,240488366
2024,6,240488415
2024,6,240488679
2024,6,240488498
2024,6,240488936
2024,6,240488729
2024,9,240488865
2024,9,240488905
2024,14,240488983
2024,6,240488935
2024,9,240488973
2024,9,240489054
2024,6,240488851
2024,9,240488946
2024,6,240489059
2024,6,240489062
2024,6,240489064
2024,6,240489130
2024,6,240489131
2024,9,240489102
2024,3,240489028
2024,9,240489168
2024,7,240489240
2024,6,240489236
2024,9,246910678
2024,9,240489065
2024,6,240489156
2024,6,240489251
2024,8,240489252
2024,9,240489104
2024,6,240489230
2024,6,240489279
2024,6,240489365
2024,6,240489366
2024,6,240489324
2024,6,240489325
2024,6,243588186
2024,6,243588187
2024,6,243588249
2024,6,243588250
2024,8,243588298
2024,6,243588299
2024,3,243588362
2024,9,243588672
2024,6,243588303
2024,6,243588642
2024,6,243588636
2024,3,243588447
2024,6,243588448
2024,9,243588564
2024,9,246910748
2024,1,243588761
2024,6,243588746
2024,9,243588568
2024,3,243588840
2024,8,243588841
2024,6,243588842
2024,6,243588872
2024,6,243588873
2024,9,243588838
2024,9,243588773
2024,12,243588965
2024,6,243588864
2024,6,225767111
2024,9,225767484
2024,9,225767558
2024,6,225767491
2024,9,225767273
2024,9,225767315
2024,6,225767365
2024,9,225767174
2024,9,225767601
2024,9,225767684
2024,6,225767586
2024,9,225767797
2024,9,225767325
2024,9,225767363
2024,3,225767477
2024,11,225713247
2024,6,225713252
2024,9,230343105
2024,9,225767641
2024,9,225767716
2024,9,225767803
2024,9,225767375
2024,9,225767521
2024,6,225766845
2024,6,225767438
2024,6,225767439
2024,9,225767634
2024,9,225767731
2024,6,225767732
2024,9,225767774
2024,9,225767848
2024,9,225767881
2024,9,225767465
2024,9,225767502
2024,9,225767550
2024,9,225767879
2024,9,225767519
2024,9,227559594
2024,9,225767532
2024,9,225767673
2024,9,225767718
2024,9,225767833
2024,9,225767013
2024,9,225767864
2024,9,225767895
2024,9,225767929
2024,9,225767646
2024,9,225767754
2024,9,225767885
2024,9,225767925
2024,6,225768000
2024,9,225768007
2024,9,245142040
2024,6,245142041
2024,9,225767928
2024,9,225767826
2024,9,225767863
2024,9,225768013
2024,9,225768051
2024,9,225768087
2024,9,225768123
2024,9,225767944
2024,9,225768095
2024,9,225768129
2024,6,225768262
2024,6,225768263
2024,9,225768077
2024,9,225768112
2024,6,225768188
2024,9,225768158
2024,9,225768229
2024,9,225768031
2024,1,236624733
2024,9,225768284
2024,9,225768324
2024,9,225768249
2024,9,225768345
2024,9,225768377
2024,9,225768410
2024,9,225768272
2024,9,225768300
2024,9,225768327
2024,9,225768358
2024,9,225768415
2024,9,225768449
2024,9,225768606
2024,9,225768437
2024,6,225768456
2024,9,225768495
2024,9,225768622
2024,9,225768353
2024,9,225768417
2024,6,225768591
2024,6,225768592
2024,9,225713113
2024,6,225713303
2024,9,225768498
2024,9,225768696
2024,9,230342985
2024,9,225768744
2024,9,225713348
2024,9,225768593
2024,6,245142072
2024,6,225768745
2024,6,225768746
2024,9,225768749
2024,6,225768809
2024,9,225768484
2024,6,227559740
2024,6,227559741
2024,9,225768651
2024,9,243578675
2024,6,225713217
2024,9,227559758
2024,9,225713301
2024,9,225713359
2024,9,225713481
2024,9,225713562
2024,9,225713581
2024,1,225713405
2024,9,225713391
2024,9,225713416
2024,9,225713482
2024,9,225713506
2024,9,225713534
2024,8,225713618
2024,6,225713383
2024,9,225713417
2024,9,225713466
2024,9,225713575
2024,9,225713595
2024,9,225713472
2024,9,225713518
2024,6,225713545
2024,9,233108577
2024,6,225713654
2024,9,225713793
2024,9,225713586
2024,6,225713640
2024,6,225713641
2024,9,225713677
2024,6,230342878
2024,6,230342879
2024,6,225713722
2024,6,225713723
2024,9,225713661
2024,9,225713689
2024,6,225713711
2024,9,225713741
2024,9,225713813
2024,9,225713639
2024,6,225713708
2024,9,225713800
2024,9,227559476
2024,9,225713854
2024,9,225713869
2024,6,227559579
2024,9,233108707
2024,9,227559543
2024,9,227559637
2024,9,227559680
2024,1,227559735
2024,9,227559502
2024,1,227559557
2024,9,227559605
2024,9,227559629
2024,6,227559692
2024,6,227559722
2024,10,236624655
2024,10,227559818
2024,9,227559870
2024,9,227559512
2024,6,227559546
2024,6,227559547
2024,9,227559589
2024,9,227559620
2024,9,233108417
2024,6,233108418
2024,9,227559585
