data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,59966160,196411119,4,2024-07-08,3,N,120,20,17,M,20,20,U,H,,17,
2024,59966968,196413400,1,2024-06-23,2,N,26A,33,30,M,20,20,U,,,30,
2024,62055581,202845311,1,2024-06-23,2,N,26A,38,35,F,20,20,U,,,35,
2024,62055591,202845330,3,2024-11-17,3,N,23B,22,19,M,20,20,U,,,19,
2024,62055559,202845271,1,2024-06-24,2,N,26A,24,21,M,20,20,U,,,21,
2024,60957554,199460985,1,2024-06-24,1,N,11D,60,57,M,20,20,U,,,57,
2024,59967014,196413480,1,2024-06-24,2,N,26A,32,29,M,20,20,U,,,29,
2024,59967035,196413517,1,2024-06-24,1,N,26A,47,44,M,20,20,U,,,44,
2024,59967056,196413566,1,2024-06-24,2,N,26A,42,39,M,20,20,U,,,39,
2024,59967052,196413556,1,2024-06-24,2,N,26A,43,40,M,20,20,U,,,40,
2024,59967079,196413610,1,2024-06-24,2,N,26A,60,57,M,20,20,U,,,57,
2024,59967097,196413645,1,2024-06-24,2,N,26A,66,63,M,20,20,U,,,63,
2024,59966961,196413392,1,2024-06-24,2,N,26A,47,44,M,20,20,U,,,44,
2024,59966986,196413436,1,2024-06-24,2,N,26A,31,28,M,20,20,U,,,28,
2024,59967008,196413470,1,2024-06-24,2,N,26A,27,24,M,20,20,U,,,24,
2024,59967032,196413512,1,2024-06-24,2,N,26A,66,63,M,20,20,U,,,63,
2024,59967060,196413571,1,2024-06-24,2,N,26A,31,28,M,20,20,U,,,28,
2024,59966930,196413330,1,2024-06-24,1,N,26A,47,44,M,20,20,U,,,44,
2024,59966163,196411125,1,2024-06-24,2,N,26A,57,54,M,20,20,U,,,54,
2024,59966950,196413371,1,2024-06-24,2,N,26A,46,43,M,20,20,U,,,43,
2024,59966985,196413431,1,2024-06-24,1,N,26A,35,32,M,20,20,U,,,32,
2024,59967005,196413467,1,2024-06-24,2,N,26A,61,58,M,10,20,U,,,58,
2024,59967031,196413511,1,2024-06-24,2,N,26A,45,42,M,20,20,U,,,42,
2024,59967061,196413572,1,2024-06-24,2,N,26A,38,35,M,20,20,U,,,35,
2024,59967078,196413608,1,2024-06-24,2,N,26A,41,38,M,20,20,U,,,38,
2024,59967096,196413640,1,2024-06-24,2,N,26A,58,55,M,20,20,U,,,55,
2024,59967090,196413629,1,2024-06-24,2,N,26A,38,35,M,20,20,U,,,35,
2024,59967106,196413665,1,2024-06-24,1,N,26A,38,35,F,20,20,U,,,35,
2024,59967116,196413687,1,2024-06-24,2,N,26A,56,53,M,20,20,U,,,53,
2024,59966940,196413347,2,2024-06-24,2,N,26A,69,66,M,20,20,U,,,66,
2024,59966962,196413393,1,2024-06-24,2,N,26A,63,60,M,20,20,U,,,60,
2024,59966992,196413441,1,2024-06-24,2,N,26A,24,21,M,20,20,U,,,21,
2024,59966993,196413441,2,2024-06-24,1,N,26A,23,20,F,20,20,U,,,20,
2024,59967012,196413478,1,2024-06-24,1,N,26A,37,34,F,20,20,U,,,34,
2024,59967057,196413567,1,2024-06-24,2,N,26A,24,21,M,10,20,U,,,21,
2024,59967034,196413516,1,2024-06-24,2,N,26A,42,39,M,20,20,U,,,39,
