county_name,offense_name,offense_count,offense_rank
ECHOLS,All Other Larceny,1,4
ECHOLS,Burglary/Breaking & Entering,1,5
EFFINGHAM,Destruction/Damage/Vandalism of Property,107,1
EFFINGHAM,Intimidation,106,2
EFFINGHAM,Simple Assault,102,3
EFFINGHAM,Drug/Narcotic Violations,98,4
EFFINGHAM,All Other Larceny,81,5
ELBERT,Simple Assault,125,1
ELBERT,Drug/Narcotic Violations,103,2
ELBERT,Destruction/Damage/Vandalism of Property,96,3
ELBERT,All Other Larceny,70,4
ELBERT,Intimidation,48,5
EMANUEL,All Other Larceny,74,1
EMANUEL,Drug/Narcotic Violations,64,2
EMANUEL,Simple Assault,60,3
EMANUEL,Intimidation,32,4
EMANUEL,Shoplifting,29,5
EVANS,Simple Assault,33,1
EVANS,Shoplifting,25,2
EVANS,Counterfeiting/Forgery,24,3
EVANS,All Other Larceny,23,4
EVANS,Intimidation,21,5
FANNIN,Simple Assault,124,1
FANNIN,Drug/Narcotic Violations,97,2
FANNIN,All Other Larceny,77,3
FANNIN,Destruction/Damage/Vandalism of Property,67,4
FANNIN,Intimidation,47,5
FAYETTE,Drug/Narcotic Violations,885,1
FAYETTE,Shoplifting,415,2
FAYETTE,All Other Larceny,388,3
FAYETTE,False Pretenses/Swindle/Confidence Game,254,4
FAYETTE,Simple Assault,203,5
FLOYD,Simple Assault,1065,1
FLOYD,Destruction/Damage/Vandalism of Property,734,2
FLOYD,All Other Larceny,726,3
FLOYD,Intimidation,533,4
FLOYD,Drug/Narcotic Violations,532,5
FORSYTH,Simple Assault,726,1
FORSYTH,All Other Larceny,559,2
FORSYTH,Drug/Narcotic Violations,519,3
FORSYTH,Destruction/Damage/Vandalism of Property,396,4
FORSYTH,Intimidation,361,5
FRANKLIN,Drug/Narcotic Violations,214,1
FRANKLIN,All Other Larceny,81,2
FRANKLIN,Simple Assault,64,3
FRANKLIN,Drug Equipment Violations,52,4
FRANKLIN,Burglary/Breaking & Entering,34,5
"FRANKLIN, HART",Drug/Narcotic Violations,3,1
"FRANKLIN, HART",Destruction/Damage/Vandalism of Property,1,2
"FRANKLIN, HART",Shoplifting,1,3
"FRANKLIN, HART",Intimidation,1,4
"FRANKLIN, HART",False Pretenses/Swindle/Confidence Game,1,5
FULTON,False Pretenses/Swindle/Confidence Game,5178,1
FULTON,Simple Assault,3884,2
FULTON,All Other Larceny,3414,3
FULTON,Destruction/Damage/Vandalism of Property,2987,4
FULTON,Theft From Motor Vehicle,2302,5
GILMER,Simple Assault,183,1
GILMER,Destruction/Damage/Vandalism of Property,127,2
GILMER,Intimidation,112,3
GILMER,Drug/Narcotic Violations,91,4
GILMER,All Other Larceny,85,5
GLASCOCK,Simple Assault,10,1
GLASCOCK,Drug/Narcotic Violations,10,2
GLASCOCK,Motor Vehicle Theft,9,3
GLASCOCK,All Other Larceny,9,4
GLASCOCK,Drug Equipment Violations,8,5
GLYNN,Simple Assault,718,1
GLYNN,All Other Larceny,615,2
GLYNN,Destruction/Damage/Vandalism of Property,509,3
GLYNN,Shoplifting,352,4
GLYNN,Theft From Motor Vehicle,277,5
GORDON,Drug/Narcotic Violations,170,1
GORDON,Simple Assault,150,2
GORDON,Destruction/Damage/Vandalism of Property,118,3
GORDON,All Other Larceny,112,4
GORDON,Intimidation,73,5
GRADY,All Other Larceny,83,1
GRADY,Shoplifting,69,2
GRADY,Simple Assault,67,3
GRADY,Theft From Motor Vehicle,54,4
GRADY,Burglary/Breaking & Entering,54,5
GREENE,Drug/Narcotic Violations,78,1
GREENE,Simple Assault,68,2
GREENE,All Other Larceny,59,3
GREENE,Weapon Law Violations,40,4
GREENE,Destruction/Damage/Vandalism of Property,20,5
GWINNETT,Simple Assault,6882,1
GWINNETT,All Other Larceny,4224,2
GWINNETT,Theft From Motor Vehicle,3301,3
GWINNETT,Shoplifting,2772,4
GWINNETT,Destruction/Damage/Vandalism of Property,2532,5
"GWINNETT, WALTON",Simple Assault,74,1
"GWINNETT, WALTON",All Other Larceny,68,2
"GWINNETT, WALTON",Intimidation,35,3
"GWINNETT, WALTON",Shoplifting,34,4
"GWINNETT, WALTON",False Pretenses/Swindle/Confidence Game,33,5
HABERSHAM,All Other Larceny,102,1
HABERSHAM,Drug/Narcotic Violations,95,2
HABERSHAM,Burglary/Breaking & Entering,46,3
HABERSHAM,Simple Assault,43,4
HABERSHAM,Destruction/Damage/Vandalism of Property,42,5
HALL,Simple Assault,1660,1
HALL,All Other Larceny,1105,2
HALL,Destruction/Damage/Vandalism of Property,867,3
HALL,Drug/Narcotic Violations,772,4
HALL,False Pretenses/Swindle/Confidence Game,712,5
HANCOCK,Drug/Narcotic Violations,11,1
HANCOCK,Aggravated Assault,6,2
HANCOCK,Shoplifting,6,3
HANCOCK,Burglary/Breaking & Entering,6,4
HANCOCK,Simple Assault,5,5
HARALSON,All Other Larceny,147,1
HARALSON,Burglary/Breaking & Entering,74,2
HARALSON,Destruction/Damage/Vandalism of Property,68,3
HARALSON,Intimidation,65,4
HARALSON,Simple Assault,49,5
HARRIS,Drug/Narcotic Violations,46,1
HARRIS,Destruction/Damage/Vandalism of Property,14,2
HARRIS,All Other Larceny,11,3
HARRIS,False Pretenses/Swindle/Confidence Game,10,4
HARRIS,Simple Assault,9,5
"HARRIS, MERIWETHER",False Pretenses/Swindle/Confidence Game,7,1
"HARRIS, MERIWETHER",Theft From Building,5,2
"HARRIS, MERIWETHER",Aggravated Assault,4,3
"HARRIS, MERIWETHER",All Other Larceny,4,4
"HARRIS, MERIWETHER",Drug/Narcotic Violations,4,5
HART,Simple Assault,107,1
HART,Drug/Narcotic Violations,95,2
HART,All Other Larceny,95,3
HART,Destruction/Damage/Vandalism of Property,90,4
HART,Intimidation,56,5
HEARD,All Other Larceny,39,1
HEARD,Destruction/Damage/Vandalism of Property,31,2
HEARD,Burglary/Breaking & Entering,30,3
HEARD,Intimidation,25,4
HEARD,Simple Assault,14,5
HENRY,Simple Assault,1922,1
HENRY,All Other Larceny,1674,2
HENRY,Theft From Motor Vehicle,953,3
HENRY,Shoplifting,801,4
HENRY,Destruction/Damage/Vandalism of Property,670,5
HOUSTON,Destruction/Damage/Vandalism of Property,42,1
HOUSTON,Shoplifting,34,2
HOUSTON,Intimidation,27,3
HOUSTON,Theft From Building,22,4
HOUSTON,All Other Larceny,20,5
"HOUSTON, PEACH",Simple Assault,1271,1
"HOUSTON, PEACH",All Other Larceny,1145,2
"HOUSTON, PEACH",Destruction/Damage/Vandalism of Property,975,3
"HOUSTON, PEACH",Theft From Motor Vehicle,674,4
"HOUSTON, PEACH",Intimidation,636,5
IRWIN,Drug/Narcotic Violations,42,1
IRWIN,Intimidation,33,2
IRWIN,All Other Larceny,28,3
IRWIN,Burglary/Breaking & Entering,19,4
IRWIN,Theft From Building,18,5
JACKSON,Simple Assault,232,1
JACKSON,All Other Larceny,163,2
JACKSON,Destruction/Damage/Vandalism of Property,148,3
JACKSON,Drug/Narcotic Violations,128,4
JACKSON,Intimidation,97,5
JASPER,Drug/Narcotic Violations,167,1
JASPER,Simple Assault,65,2
JASPER,All Other Larceny,51,3
JASPER,Destruction/Damage/Vandalism of Property,45,4
JASPER,Intimidation,38,5
JEFF DAVIS,All Other Larceny,55,1
JEFF DAVIS,Simple Assault,48,2
JEFF DAVIS,Shoplifting,39,3
JEFF DAVIS,Burglary/Breaking & Entering,36,4
JEFF DAVIS,Drug/Narcotic Violations,16,5
JEFFERSON,Destruction/Damage/Vandalism of Property,73,1
JEFFERSON,Simple Assault,65,2
JEFFERSON,Intimidation,50,3
JEFFERSON,All Other Larceny,46,4
JEFFERSON,Drug/Narcotic Violations,43,5
JENKINS,Simple Assault,28,1
JENKINS,Destruction/Damage/Vandalism of Property,15,2
JENKINS,All Other Larceny,12,3
JENKINS,Aggravated Assault,10,4
JENKINS,Intimidation,7,5
JONES,Drug/Narcotic Violations,99,1
JONES,All Other Larceny,70,2
JONES,Destruction/Damage/Vandalism of Property,39,3
JONES,Intimidation,39,4
JONES,Simple Assault,37,5
LAMAR,Burglary/Breaking & Entering,5,1
LAMAR,Destruction/Damage/Vandalism of Property,4,2
LAMAR,Theft From Building,4,3
LAMAR,All Other Larceny,3,4
LAMAR,Theft of Motor Vehicle Parts or Accessories,2,5
LANIER,Destruction/Damage/Vandalism of Property,39,1
LANIER,All Other Larceny,28,2
LANIER,Drug/Narcotic Violations,26,3
LANIER,Simple Assault,20,4
LANIER,Burglary/Breaking & Entering,18,5
LAURENS,Simple Assault,212,1
LAURENS,All Other Larceny,159,2
LAURENS,Drug/Narcotic Violations,134,3
LAURENS,Intimidation,132,4
LAURENS,Destruction/Damage/Vandalism of Property,124,5
LEE,Simple Assault,109,1
LEE,Destruction/Damage/Vandalism of Property,80,2
LEE,All Other Larceny,80,3
LEE,Shoplifting,47,4
LEE,Theft From Motor Vehicle,41,5
LIBERTY,Simple Assault,665,1
LIBERTY,All Other Larceny,372,2
LIBERTY,Destruction/Damage/Vandalism of Property,339,3
LIBERTY,Theft From Motor Vehicle,206,4
LIBERTY,Shoplifting,199,5
LINCOLN,Simple Assault,13,1
LINCOLN,Destruction/Damage/Vandalism of Property,13,2
LINCOLN,All Other Larceny,12,3
LINCOLN,Intimidation,11,4
LINCOLN,Aggravated Assault,9,5
LONG,All Other Larceny,7,1
LONG,Burglary/Breaking & Entering,7,2
LONG,Simple Assault,7,3
LONG,Drug/Narcotic Violations,6,4
LONG,Aggravated Assault,4,5
LOWNDES,All Other Larceny,1426,1
LOWNDES,Simple Assault,1360,2
LOWNDES,Destruction/Damage/Vandalism of Property,899,3
LOWNDES,Shoplifting,667,4
LOWNDES,Drug/Narcotic Violations,649,5
LUMPKIN,Simple Assault,153,1
LUMPKIN,Destruction/Damage/Vandalism of Property,101,2
LUMPKIN,All Other Larceny,76,3
LUMPKIN,Intimidation,73,4
LUMPKIN,Drug/Narcotic Violations,51,5
MACON,Simple Assault,6,1
MACON,Aggravated Assault,5,2
MACON,Destruction/Damage/Vandalism of Property,3,3
MACON,Theft From Building,2,4
MACON,Drug/Narcotic Violations,2,5
MADISON,Simple Assault,203,1
MADISON,Destruction/Damage/Vandalism of Property,117,2
MADISON,Drug/Narcotic Violations,111,3
MADISON,All Other Larceny,77,4
MADISON,Intimidation,74,5
MARION,All Other Larceny,8,1
MARION,Identity Theft,7,2
MARION,Burglary/Breaking & Entering,7,3
MARION,Destruction/Damage/Vandalism of Property,7,4
MARION,Intimidation,6,5
MCDUFFIE,All Other Larceny,52,1
MCDUFFIE,Simple Assault,51,2
MCDUFFIE,Burglary/Breaking & Entering,38,3
MCDUFFIE,Aggravated Assault,18,4
MCDUFFIE,Counterfeiting/Forgery,18,5
MCINTOSH,Drug/Narcotic Violations,134,1
MCINTOSH,All Other Larceny,46,2
MCINTOSH,Burglary/Breaking & Entering,28,3
MCINTOSH,Destruction/Damage/Vandalism of Property,24,4
MCINTOSH,Simple Assault,24,5
MERIWETHER,Drug/Narcotic Violations,49,1
MERIWETHER,Simple Assault,47,2
MERIWETHER,Destruction/Damage/Vandalism of Property,39,3
MERIWETHER,Burglary/Breaking & Entering,37,4
MERIWETHER,All Other Larceny,31,5
"MERIWETHER, TALBOT",Drug/Narcotic Violations,79,1
"MERIWETHER, TALBOT",Theft From Motor Vehicle,39,2
"MERIWETHER, TALBOT",Destruction/Damage/Vandalism of Property,28,3
"MERIWETHER, TALBOT",Burglary/Breaking & Entering,21,4
"MERIWETHER, TALBOT",Theft From Building,18,5
MITCHELL,Simple Assault,181,1
MITCHELL,Destruction/Damage/Vandalism of Property,135,2
MITCHELL,All Other Larceny,102,3
MITCHELL,Intimidation,71,4
MITCHELL,Drug/Narcotic Violations,51,5
MONROE,Drug/Narcotic Violations,70,1
MONROE,Weapon Law Violations,15,2
MONROE,Drug Equipment Violations,14,3
MONROE,Impersonation,13,4
MONROE,Intimidation,12,5
MONTGOMERY,Burglary/Breaking & Entering,19,1
MONTGOMERY,Simple Assault,16,2
MONTGOMERY,Aggravated Assault,12,3
MONTGOMERY,Theft From Building,8,4
MONTGOMERY,Theft From Motor Vehicle,8,5
"MONTGOMERY, TOOMBS",All Other Larceny,247,1
"MONTGOMERY, TOOMBS",Simple Assault,163,2
"MONTGOMERY, TOOMBS",Shoplifting,122,3
"MONTGOMERY, TOOMBS",Credit Card/Automated Teller Machine Fraud,82,4
"MONTGOMERY, TOOMBS",Destruction/Damage/Vandalism of Property,78,5
MORGAN,All Other Larceny,32,1
MORGAN,Theft From Motor Vehicle,30,2
MORGAN,Shoplifting,28,3
MORGAN,Destruction/Damage/Vandalism of Property,17,4
MORGAN,Counterfeiting/Forgery,13,5
MURRAY,Drug/Narcotic Violations,236,1
MURRAY,Simple Assault,133,2
MURRAY,Drug Equipment Violations,120,3
MURRAY,All Other Larceny,38,4
MURRAY,Aggravated Assault,23,5
MUSCOGEE,Simple Assault,1612,1
MUSCOGEE,All Other Larceny,1236,2
MUSCOGEE,Theft From Motor Vehicle,1010,3
MUSCOGEE,Shoplifting,877,4
MUSCOGEE,Destruction/Damage/Vandalism of Property,742,5
NEWTON,Simple Assault,906,1
